fid,field_1,link,captured,date,x,y,image_name,location
"44","7","https://www.google.com/maps/@1.2959368,103.7719402,3a,75y,50.84h,93.36t/data=!3m10!1e1!3m8!1scqeYi2HJX_HQS1APTymgDg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DcqeYi2HJX_HQS1APTymgDg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D339.5998%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i15","1","308",1.2959368,103.7719402,panorama-cqeYi2HJX_HQS1APTymgDg,NUS Campus
"45","8","https://www.google.com/maps/@1.2982715,103.7736255,3a,75y,61.81h,86.51t/data=!3m10!1e1!3m8!1swbd1RavgV9zs32SnxHd-wg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dwbd1RavgV9zs32SnxHd-wg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D11.127193%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i50","1","308",1.2982715,103.7736255,panorama-wbd1RavgV9zs32SnxHd-wg,NUS Campus
"46","9","https://www.google.com/maps/@1.2990038,103.7748643,3a,75y,112.97h,59.81t/data=!3m9!1e1!3m7!1sIzBKSR-RdngCIiRSn1wIYQ!2e0!7i13312!8i6656!9m2!1b1!2i50","1","308",1.2990038,103.7748643,panorama-IzBKSR-RdngCIiRSn1wIYQ,NUS Campus
"47","10","https://www.google.com/maps/@1.2988333,103.7756461,3a,75y,82.67h,62.61t/data=!3m9!1e1!3m7!1s5SvaHiLnGyomFCf51vbmqA!2e0!7i16384!8i8192!9m2!1b1!2i15","1","308",1.2988333,103.7756461,panorama-5SvaHiLnGyomFCf51vbmqA,NUS Campus
"48","11","https://www.google.com/maps/@1.2988137,103.7762601,3a,75y,25.02h,81.09t/data=!3m9!1e1!3m7!1sMCeAPhx7d9iCTFkoY8RGNQ!2e0!7i16384!8i8192!9m2!1b1!2i15","1","308",1.2988137,103.7762601,panorama-MCeAPhx7d9iCTFkoY8RGNQ,NUS Campus
"49","12","https://www.google.com/maps/@1.2981413,103.7769646,3a,75y,209.66h,75.77t/data=!3m9!1e1!3m7!1swxlsYXXxaGjdJ75Hvh6r9w!2e0!7i16384!8i8192!9m2!1b1!2i42","1","308",1.2981413,103.7769646,panorama-wxlsYXXxaGjdJ75Hvh6r9w,NUS Campus
"50","13","https://www.google.com/maps/@1.2974803,103.7780156,3a,75y,192.73h,103.44t/data=!3m6!1e1!3m4!1somrS9IEP_UK7Jlwiv3a8Kg!2e0!7i16384!8i8192","1","308",1.2974803,103.7780156,panorama-omrS9IEP_UK7Jlwiv3a8Kg,NUS Campus
"51","14","https://www.google.com/maps/@1.2972184,103.7787669,3a,75y,195.73h,97.36t/data=!3m9!1e1!3m7!1sdUk5QvIdCm8Sts7fRBOUwQ!2e0!7i16384!8i8192!9m2!1b1!2i15","1","308",1.2972184,103.7787669,panorama-dUk5QvIdCm8Sts7fRBOUwQ,NUS Campus
"52","15","https://www.google.com/maps/@1.2972543,103.7798798,3a,75y,344.95h,92.81t/data=!3m9!1e1!3m7!1sfRYnDzxcgsBH84oqqG57pQ!2e0!7i16384!8i8192!9m2!1b1!2i15","1","308",1.2972543,103.7798798,panorama-fRYnDzxcgsBH84oqqG57pQ,NUS Campus
"53","16","https://www.google.com/maps/@1.2973773,103.780334,3a,75y,80.4h,91.14t/data=!3m6!1e1!3m4!1s6yXDqGXJTmZqonTm0TwS3w!2e0!7i16384!8i8192","1","308",1.2973773,103.780334,panorama-6yXDqGXJTmZqonTm0TwS3w,NUS Campus
"54","17","https://www.google.com/maps/@1.2974114,103.7806056,3a,75y,349.57h,91.32t/data=!3m9!1e1!3m7!1sfJMke0bBw3oflFwQKO1SXg!2e0!7i16384!8i8192!9m2!1b1!2i15","1","308",1.2974114,103.7806056,panorama-fJMke0bBw3oflFwQKO1SXg,NUS Campus
"55","18","https://www.google.com/maps/@1.2958055,103.7839871,3a,75y,141.01h,77.03t/data=!3m9!1e1!3m7!1sFtVhRCLaLKoEkstgrzKdZg!2e0!7i16384!8i8192!9m2!1b1!2i15","1","308",1.2958055,103.7839871,panorama-FtVhRCLaLKoEkstgrzKdZg,NUS Campus
"56","19","https://www.google.com/maps/@1.2941938,103.7845858,3a,75y,156.55h,79.82t/data=!3m7!1e1!3m5!1shtSsSTEwHuiFt9djG8tivA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DhtSsSTEwHuiFt9djG8tivA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D357.87012%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192","1","308",1.2941938,103.7845858,panorama-htSsSTEwHuiFt9djG8tivA,NUS Campus
"57","20","https://www.google.com/maps/@1.2921811,103.7841292,3a,75y,329.57h,94.41t/data=!3m9!1e1!3m7!1sgXwDdnOjZTzTu2ndGB1FxA!2e0!7i16384!8i8192!9m2!1b1!2i31","1","308",1.2921811,103.7841292,panorama-gXwDdnOjZTzTu2ndGB1FxA,NUS Campus
"58","21","https://www.google.com/maps/@1.2919451,103.784246,3a,75y,186.62h,97.36t/data=!3m9!1e1!3m7!1sDodeLpetjaw7js_rPDC4ag!2e0!7i16384!8i8192!9m2!1b1!2i33","1","308",1.2919451,103.784246,panorama-DodeLpetjaw7js_rPDC4ag,NUS Campus
"59","22","https://www.google.com/maps/@1.2916761,103.783532,3a,75y,245.29h,92.27t/data=!3m9!1e1!3m7!1sY_A2JcXIzH50MxBSULA1KA!2e0!7i16384!8i8192!9m2!1b1!2i33","1","308",1.2916761,103.783532,panorama-Y_A2JcXIzH50MxBSULA1KA,NUS Campus
"60","23","https://www.google.com/maps/@1.2918257,103.7828971,3a,75y,223.15h,88.27t/data=!3m9!1e1!3m7!1sjVXFsNRoa6vSk9MbluIWwg!2e0!7i16384!8i8192!9m2!1b1!2i33","1","308",1.2918257,103.7828971,panorama-jVXFsNRoa6vSk9MbluIWwg,NUS Campus
"61","24","https://www.google.com/maps/@1.2911858,103.7814431,3a,75y,248.96h,66.07t/data=!3m9!1e1!3m7!1sqVim20fcun6L8Ln_YYk-0g!2e0!7i16384!8i8192!9m2!1b1!2i33","1","308",1.2911858,103.7814431,panorama-qVim20fcun6L8Ln_YYk-0g,NUS Campus
"62","25","https://www.google.com/maps/@1.2911098,103.7806537,3a,75y,111.06h,90.11t/data=!3m6!1e1!3m4!1suzX1ihB1NCmcke6V_y8jpw!2e0!7i16384!8i8192","1","308",1.2911098,103.7806537,panorama-uzX1ihB1NCmcke6V_y8jpw,NUS Campus
"63","26","https://www.google.com/maps/@1.29183,103.7803621,3a,75y,260.81h,86.65t/data=!3m9!1e1!3m7!1szYJgeE4ZUp48b-rn2A5LwA!2e0!7i16384!8i8192!9m2!1b1!2i33","1","308",1.29183,103.7803621,panorama-zYJgeE4ZUp48b-rn2A5LwA,NUS Campus
"64","27","https://www.google.com/maps/@1.2907101,103.781023,3a,75y,174.61h,97.9t/data=!3m8!1e1!3m6!1sAF1QipMkUsSr5cL9_9wpx9asbJ10ksAvsFI57e0QS2-7!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMkUsSr5cL9_9wpx9asbJ10ksAvsFI57e0QS2-7%3Dw203-h100-k-no-pi-0-ya133.55754-ro-0-fo100!7i8704!8i4352","1","308",1.2907101,103.781023,panorama-AF1QipMkUsSr5cL9_9wpx9asbJ10ksAvsFI57e0QS2-7,NUS Campus
"65","28","https://www.google.com/maps/@1.2908246,103.7802508,3a,75y,41.21h,96.46t/data=!3m11!1e1!3m9!1sAF1QipMHKH1XA26yagmyW5-CnE9M8l3vSfZzGHAJxQMq!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMHKH1XA26yagmyW5-CnE9M8l3vSfZzGHAJxQMq%3Dw203-h100-k-no-pi-0-ya184.54266-ro-0-fo100!7i8704!8i4352!9m2!1b1!2i33","1","308",1.2908246,103.7802508,panorama-AF1QipMHKH1XA26yagmyW5-CnE9M8l3vSfZzGHAJxQMq,NUS Campus
"66","29","https://www.google.com/maps/@1.2915867,103.7799283,3a,75y,12.95h,97.11t/data=!3m11!1e1!3m9!1sAF1QipMLvmTcL3o0mQAHRjuhXcmLrBsLwHR9uhYd_MgQ!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMLvmTcL3o0mQAHRjuhXcmLrBsLwHR9uhYd_MgQ%3Dw203-h100-k-no-pi-0-ya358.01892-ro-0-fo100!7i4608!8i2304!9m2!1b1!2i33","1","308",1.2915867,103.7799283,panorama-AF1QipMLvmTcL3o0mQAHRjuhXcmLrBsLwHR9uhYd_MgQ,NUS Campus
"67","30","https://www.google.com/maps/@1.2916367,103.779445,3a,75y,5.1h,95.87t/data=!3m11!1e1!3m9!1sAF1QipMdIEsqOVnnfIjRiAs-hyIWkZc-QvBj9mh8bQ1a!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMdIEsqOVnnfIjRiAs-hyIWkZc-QvBj9mh8bQ1a%3Dw203-h100-k-no-pi-0-ya15.641155-ro-0-fo100!7i4608!8i2304!9m2!1b1!2i32","1","308",1.2916367,103.779445,panorama-AF1QipMdIEsqOVnnfIjRiAs-hyIWkZc-QvBj9mh8bQ1a,NUS Campus
